id,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance
196,3,Barcelona 2016-2017,10.0,6.0,1.0,3.0,26.0,12.0,14.0,19.0,85.863
197,3,Bayern Munich 2016-2017,10.0,6.0,0.0,4.0,27.0,14.0,13.0,18.0,70.0
198,3,Dortmund 2016-2017,10.0,5.0,2.0,3.0,28.0,16.0,12.0,17.0,63.698
199,3,Leicester City 2016-2017,10.0,5.0,2.0,3.0,11.0,10.0,1.0,17.0,31.471
200,2,Paris S-G 2016-2017,8.0,4.0,3.0,1.0,18.0,13.0,5.0,15.0,45.516
201,2,Arsenal 2016-2017,8.0,4.0,2.0,2.0,20.0,16.0,4.0,14.0,59.869
202,2,Sevilla 2016-2017,8.0,4.0,2.0,2.0,9.0,6.0,3.0,14.0,37.433
203,2,Manchester City 2016-2017,8.0,3.0,4.0,1.0,17.0,13.0,4.0,13.0,47.065
204,2,Porto 2016-2017,8.0,3.0,2.0,3.0,9.0,6.0,3.0,11.0,38.794
205,2,Napoli 2016-2017,8.0,3.0,2.0,3.0,13.0,14.0,-1.0,11.0,40.054
206,2,Benfica 2016-2017,8.0,3.0,2.0,3.0,11.0,14.0,-3.0,11.0,51.131
207,2,Leverkusen 2016-2017,8.0,2.0,4.0,2.0,11.0,11.0,0.0,10.0,25.894
208,1,FC Copenhagen 2016-2017,6.0,2.0,3.0,1.0,7.0,2.0,5.0,9.0,30.596
209,1,Lyon 2016-2017,6.0,2.0,2.0,2.0,5.0,3.0,2.0,8.0,50.028
210,1,Tottenham 2016-2017,6.0,2.0,1.0,3.0,6.0,6.0,0.0,7.0,77.519
211,1,Beşiktaş 2016-2017,6.0,1.0,4.0,1.0,9.0,14.0,-5.0,7.0,35.184
212,1,Dynamo Kyiv 2016-2017,6.0,1.0,2.0,3.0,8.0,6.0,2.0,5.0,25.055
213,1,Rostov 2016-2017,6.0,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,14.419
214,1,M'Gladbach 2016-2017,6.0,1.0,2.0,3.0,5.0,12.0,-7.0,5.0,46.162
215,1,Legia Warsaw 2016-2017,6.0,1.0,1.0,4.0,9.0,24.0,-15.0,4.0,18.512
216,1,Sporting CP 2016-2017,6.0,1.0,0.0,5.0,5.0,8.0,-3.0,3.0,45.583
217,1,CSKA Moscow 2016-2017,6.0,0.0,3.0,3.0,5.0,11.0,-6.0,3.0,23.147
218,1,Ludogorets 2016-2017,6.0,0.0,3.0,3.0,6.0,15.0,-9.0,3.0,22.946
219,1,Celtic 2016-2017,6.0,0.0,3.0,3.0,5.0,16.0,-11.0,3.0,57.781
220,1,PSV Eindhoven 2016-2017,6.0,0.0,2.0,4.0,4.0,11.0,-7.0,2.0,34.13
221,1,Basel 2016-2017,6.0,0.0,2.0,4.0,3.0,12.0,-9.0,2.0,33.83
222,1,Club Brugge 2016-2017,6.0,0.0,0.0,6.0,2.0,14.0,-12.0,0.0,21.092
223,1,Dinamo Zagreb 2016-2017,6.0,0.0,0.0,6.0,0.0,15.0,-15.0,0.0,12.577
224,6,Real Madrid 2017-2018,13.0,9.0,2.0,2.0,33.0,16.0,17.0,29.0,75.398
225,5,Liverpool 2017-2018,13.0,7.0,4.0,2.0,41.0,16.0,25.0,25.0,49.96
226,4,Bayern Munich 2017-2018,12.0,8.0,2.0,2.0,26.0,12.0,14.0,26.0,70.0
227,4,Roma 2017-2018,12.0,6.0,2.0,4.0,21.0,19.0,2.0,20.0,48.587
228,3,Barcelona 2017-2018,10.0,6.0,3.0,1.0,17.0,6.0,11.0,21.0,73.861
229,3,Manchester City 2017-2018,10.0,6.0,0.0,4.0,20.0,12.0,8.0,18.0,48.05
230,3,Juventus 2017-2018,10.0,5.0,3.0,2.0,14.0,12.0,2.0,18.0,38.541
231,3,Sevilla 2017-2018,10.0,3.0,5.0,2.0,15.0,15.0,0.0,14.0,38.512
232,2,Tottenham 2017-2018,8.0,5.0,2.0,1.0,18.0,8.0,10.0,17.0,69.454
233,2,Manchester Utd 2017-2018,8.0,5.0,1.0,2.0,13.0,5.0,8.0,16.0,74.467
234,2,Paris S-G 2017-2018,8.0,5.0,0.0,3.0,27.0,9.0,18.0,15.0,46.382
